,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vessel and Vessel Movements,,,,,,,,,Wind,,,,,Current,,Data Characteristics,,,,
Start Date,Time of reading,Image Numbers,Document Title,Vessel,Ship Type,Owner of Port of Registry,Vessel Movements,Latitude ,Longitude ,Barometer,Air Temperature,Water Temperature,Direction,Force,Course,Distance,Distance by Log,Direction,Drift,Meteorology,Oceanography,Confirmed Sea Ice Observations,Other data,Notes
01/06/1947,06:00,1983_011_0003_0074,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76.8,78.8,E.S.E. ,3,,,,,,,,,,
01/06/1947,Noon,1983_011_0003_0074,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.59S,99.35W,,,,,,10,38.8,35,S.E.,3.8,,,,,
01/06/1947,18:00,1983_011_0003_0074,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.2,76.6,78.9,E.S.E. ,4,,,,,,,,,,
02/06/1947,06:00,1983_011_0003_0076,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.4,76.9,79,E.S.E. ,3,,,,,,,,,,
02/06/1947,Noon,1983_011_0003_0076,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.46S,100.03W,,,,,,260,30.8,30.8,,,,,,,
02/06/1947,18:00,1983_011_0003_0076,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021,77.8,79.1,E.S.E. ,4,,,,,,,,,,
03/06/1947,06:00,1983_011_0003_0078,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,76.9,79.1,S.E.,3,,,,,,,,,,
03/06/1947,Noon,1983_011_0003_0078,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.35S,100.46W,,,,,,260,61,40,S.E.,21,,,,,
03/06/1947,18:00,1983_011_0003_0078,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,78,79.1,S.E.,3,,,,,,,,,,
04/06/1947,06:00,1983_011_0003_0080,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,75.4,78.2,S.E.,3,,,,,,,,,,
04/06/1947,Noon,1983_011_0003_0080,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.34S,102.2W,,,,,,260,59,46,S.E.,13,,,,,
04/06/1947,18:00,1983_011_0003_0080,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,78,79.4,S.E.,3,,,,,,,,,,
05/06/1947,06:00,1983_011_0003_0082,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,77,78.2,S.S.E. ,4,,,,,,,,,,
05/06/1947,Noon,1983_011_0003_0082,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.38S,102.47W,,,,,,260,45.2,,,,,,,,
05/06/1947,18:00,1983_011_0003_0082,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.2,78.8,78.6,S.S.E. ,3,,,,,,,,,,
06/06/1947,06:00,1983_011_0003_0084,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,75,79,S.S.E.,3,,,,,,,,,,
06/06/1947,Noon,1983_011_0003_0084,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.40S,103.35W,,,,,,260,48,,,,,,,,
06/06/1947,18:00,1983_011_0003_0084,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1021.7,78.8,78.5,S.S.E.,3,,,,,,,,,,
07/06/1947,06:00,1983_011_0003_0086,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022,75,78.2,S.E.,3,,,,,,,,,,
07/06/1947,Noon,1983_011_0003_0086,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.33S,104.21W,,,,,,260,46.5,,,,,,,,
07/06/1947,18:00,1983_011_0003_0086,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1020.7,78.3,79.1,S.E.,4,,,,,,,,,,
08/06/1947,05:00,1983_011_0003_0088,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,77.8,79.2,S.E.,3,,,,,,,,,,
08/06/1947,Noon,1983_011_0003_0088,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.26S,105.19W,,,,,,260,58.4,43.4,S.E.,10,,,,,
08/06/1947,17:00,1983_011_0003_0088,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1022.6,79,79.6,S.E.,3,,,,,,,,,,
09/06/1947,05:00,1983_011_0003_0090,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023,77,79.2,S.E.,4,,,,,,,,,,
09/06/1947,Noon,1983_011_0003_0090,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.24S,106.16W,,,,,,260,57,47,S.E.,8,,,,,
09/06/1947,17:00,1983_011_0003_0090,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1023.6,78.2,79.1,S.E.,4,,,,,,,,,,
10/06/1947,05:00,1983_011_0003_0092,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1025.5,76.8,79.1,S.E.,3,,,,,,,,,,
10/06/1947,Noon,1983_011_0003_0092,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,6.19S,107.3W,,,,,,260,47.3,33.3,S.E.,10,,,,,
10/06/1947,17:00,1983_011_0003_0092,Deck Log Book,Kon-Tiki,Raft,"Lillehammer - Norway",Callao - Tahiti,,,1024.1,79.3,79.4,S.E.,3,,,,,,,,,,
