	S.M.S. PLANET 1906/1907							

Pg. 3								

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	TEMP (C)	SST
			1600			759.6	28.0	28.7
			2000			761.0	27.7	28.5
			2400			761.9	28.0	28.4
		29	400			759.6	27.9	28.2
			800			760.7	27.3	28.6
			1200	0 25 N	73 11	759.6	27.9	29.0
			1600			759.0	28.5	29.0
			2000			759.1	28.2	28.8
			2400			759.2	28.0	28.6
		30	400			758.8	28.0	28.7
			800			758.7	28.8	29.2
			1200	1 52	74 45	758.0	28.4	29.5
			1600			758.2	28.2	29.0
			2000			757.9	28.2	28.3
			2400			757.8	28.2	28.3
	7	1	400			757.3	28.3	28.3
			800			758.2	27.2	28.3
			1200	3 41	76 10	757.4	29.0	28.8
			1600			757.1	26.7	28.2
			2000			757.2	27.7	28.2
			2400			757.3	28.0	28.0
		2	400			756.5	27.8	27.8
			800			758.4	28.1	27.2
			1200	5 44	78 11	759.0	28.9	27.8
			1600			757.6	28.8	
			2000			757.4	27.7	
			2400			757.1	27.7	
		3	400			755.7	27.2	27.4
			800			758.1	27.4	27.6
			1200	Colombo		756.6	28.0	28.8
			1600			756.4	28.0	29.0
			2000			756.8	28.0	28.6
			2400			756.8	27.8	28.3
		13	1200	Colombo		758.6	27.7	28.4
			1600			757.4	27.6	28.6
			2000			756.9	27.2	28.2
			2400			757.8	26.8	28.0
		14	400			757.9	26.6	26.1
			800			758.9	26.9	26.2
			1200	5 40	80 28	758.5	28.2	26.2
			1600			757.4	28.2	26.4
			2000			758.3	27.1	26.9
			2400			758.0	27.2	26.6
		15	400			757.3	27.0	26.5
			800			760.0	27.8	27.0
			1200	4 39	82 56	757.9	28.1	26.8
			1600			756.5	28.6	27.7
			2000			757.8	28.0	27.6
			2400			757.9	27.9	27.3
		16	400			757.3	27.8	26.9
			800			758.2	28.1	26.9
			1200	4 10	86 12	757.9	28.6	28.2
			1600			756.3	28.4	27.9
			2000			757.6	28.1	27.6
			2400			757.9	28.0	27.4
		17	400			756.9	27.9	27.7
			800			757.0	28.2	27.8
			1200	3 20	88 40	757.3	28.6	28.1
			1600					28.4
			2000					28.1
			2400					27.9
		18	400			757.3	28.0	27.5
			800			757.8	28.1	27.8
			1200	2 57	91 11	757.4	28.8	28.1
			1600			755.9	30.0	28.4
			2000			756.2	28.0	28.1
			2400			756.3	28.0	27.8
