HMS EREBUS - VOYAGE TO SOUTHERN AND ANTARCTIC REGIONS								

YEAR	MONTH	DAY	LAT	LONG	MEAN TEMP	MEAN SST	MEAN 	
					F	F	BAROMETER	(corrected)
		7			43.50	44.30	29.464
		8			41.00	43.70	29.745
		9			45.50	45.20	29.332
		10			42.90	44.40	29.525
		11			45.00	45.50	28.988
		12			40.70	43.90	29.400
		13			44.00	44.70	29.051
		14			40.10	43.90	29.315
		15			39.90	43.30	29.786
		16			41.20	43.60	29.766
		17			44.40	45.20	29.332
		18			40.10	43.30	29.678
		19			40.60	43.60	29.884
		20			43.80	44.30	29.495
		21			43.90	44.30	29.291
		22			36.00	42.80	29.451
		23			39.00	43.00	29.426
		24			37.10	42.20	28.865
		25			35.50	41.90	28.857
		26			40.40	42.80	28.645
		27			32.10	41.00	28.962
		28			33.50	40.20	29.102
		29			38.20	41.30	28.978
		30			33.80	40.40	28.893
		31			28.90	38.40	28.989
		Mean			40.78	43.50	29.304
					40.72	43.49	29.304
							
1842	6	1			30.40	38.80	29.238
		2			32.10	38.30	29.653
		3			35.40	39.80	29.506
		4			38.10	40.20	29.039
		5			33.20	39.00	28.787
		6			33.90	39.40	29.251
		7			34.10	39.30	29.456
		8			36.90	39.80	29.326
		9			32.00	38.60	29.582
		10			28.60	37.80	29.680
		11			32.60	38.00	29.481
		12			35.30	39.00	29.370
		13			36.30	39.50	29.400
		14			38.20	39.70	29.732
		15			36.80	39.70	29.978
		16			40.30	40.70	29.685
		17			38.30	40.50	29.651
		18			40.40	41.10	29.427
		19			39.00	41.20	29.381
		20			36.60	40.00	29.493
		21			37.20	40.30	29.112
		22			32.70	39.20	29.138
		23			31.30	38.30	29.172
		24			32.00	37.70	29.379
		25			33.30	38.10	29.475
		26			33.50	38.10	29.256
		27			30.40	37.20	29.154
		28			26.00	36.10	29.201
		29			28.50	35.80	29.501
		30			29.90	37.30	29.375
		Mean			34.11	38.95	29.396
					34.11	38.95	29.396
							
1842	7	1			27.40	35.80	29.281
		2			27.60	35.80	29.294
		3			27.00	35.20	30.100
		4			34.00	37.90	29.733
		5			37.90	38.70	29.331
		6			36.30	38.30	29.298
		7			37.00	39.60	29.073
		8			36.80	40.00	28.956
		9			33.30	38.50	29.161
		10			31.80	38.60	29.691
		11			36.50	39.30	29.683
		12			29.60	37.90	29.457
		13			32.60	38.00	29.709
		14			34.30	38.10	30.198
		15			33.50	38.20	30.431
		16			34.40	38.40	30.528
		17			34.90	38.60	30.448
		18			36.00	39.50	30.015
		19			35.70	39.90	29.436
		20			33.20	38.90	29.578
		21			31.90	38.50	29.908
		22			31.70	38.10	30.215
		23			32.20	38.30	30.266
		24			36.00	39.30	29.986
		25			37.90	40.20	29.747
		26			36.70	40.20	29.438
		27			35.40	40.10	29.681
		28			35.60	40.60	29.628
		29			35.60	40.50	29.034
		30			34.70	40.00	29.123
		31			31.60	39.60	29.196
		Mean			33.84	38.73	29.665
					33.84	38.73	29.665
							
1842	8	1			31.10	38.50	29.608
		2			32.50	38.60	29.967
		3			31.80	38.50	29.923
		4			35.40	39.50	29.172
		5			29.10	37.80	29.286
		6			27.70	37.00	29.462
		7			23.30	32.30	29.526
		8			26.10	33.50	29.666
		9			29.60	35.40	30.091
		10			30.70	35.40	30.258
		11			31.50	36.20	30.034
		12			35.10	37.70	29.782
		13			35.50	36.90	30.026
		14			35.50	37.60	29.794
		15			36.60	38.30	29.461
		16			36.90	39.00	29.150
		17			34.50	38.90	29.308
		18			31.90	38.20	29.553
		19			31.70	37.50	29.717
		20			33.10	38.10	29.524
		21			36.80	39.20	29.035
		22			35.80	39.30	29.039
		23			34.90	38.80	29.397
		24			32.90	38.40	29.564
		25			36.30	39.00	30.030
		26			37.40	39.50	30.203
		27			38.80	39.50	30.123
		28			40.50	40.10	29.922
		29			41.60	40.50	29.683
		30			42.90	41.20	29.540
		31			40.40	40.70	29.342
		Mean			34.13	38.10	29.654
					34.13	38.10	29.651
							
1842	9	1			41.30	41.20	29.426
		2			42.30	41.70	29.396
		3			40.10	41.20	29.601
		4			38.20	40.60	29.918
		5			38.70	41.00	30.149
		6			38.30	40.70	30.115
		7			37.80	40.70	29.678
		8			39.00	41.80	29.269
		9	53  3  	57  55   	35.50	41.00	28.980
		10	53  19  	56  49   	34.50	40.30	29.140
		11	54  11  	55  22   	38.10	40.70	28.787
		12	54  19  	54  47   	36.30	40.20	28.757
		13	54  6  	54  37   	32.30	39.30	29.137
		14	53  47  	55  12   	37.70	40.40	29.234
		15	54  44  	55  28   	35.60	40.70	29.214
		16	54  41  	55  12   	33.50	40.30	29.682
		17	55  08  	59  16   	31.00	40.00	30.005
		18	55  40  	63  08   	31.90	39.60	30.119
		19	Off Cape	Horn	37.20	41.70	29.628
		20	St Martin's	Cove	37.90	43.20	29.756
		21		Hermit Island	39.60	43.50	29.659
		22			42.50	44.10	29.686
		23			45.60	44.60	29.466
		24			44.00	43.80	29.248
		25			35.70	41.80	29.337
		26			41.10	43.30	29.551
		27			47.70	44.90	29.491
		28			44.60	44.20	29.351
		29			44.70	44.10	29.329
		31			41.70	44.20	29.359
		Mean			38.88	41.83	29.576
					38.81	41.83	29.482
							
1842	10	1	St Martin's	Cove	43.40	44.70	29.434
		2	Near	Cape Horn	45.30	44.60	29.625
		3			44.10	44.50	29.693
		4			42.90	44.80	29.670
		5			43.10	45.00	29.631
		6			43.20	45.30	29.614
		7			41.60	44.10	29.252
		8			44.60	45.70	29.414
		9			46.70	45.70	29.389
		10			47.10	46.00	29.335
		11			43.20	45.30	29.096
		12			40.00	45.00	29.208
		13			36.90	44.50	29.534
		14			41.60	44.80	29.435
		15			40.80	44.80	29.104
		16			40.40	44.60	29.316
		17			40.10	44.50	28.693
		18			36.10	43.60	28.415
		19			36.30	43.50	28.800
		20			33.20	43.00	28.911
		21			38.40	44.00	28.881
		22			36.20	43.50	28.621
		23			35.80	43.60	29.210
		24			37.40	43.70	29.417
		25			42.60	44.80	29.532
		26			39.60	44.20	29.540
		27			40.70	44.20	29.757
		28			44.20	45.20	29.463
		29			46.00	45.60	29.305
		30			43.30	45.00	29.308
		31			46.70	46.10	29.492
		Mean			41.34	44.64	29.293
					41.34	44.64	29.293
							
1842	11	1			40.60	45.50	29.813
		2			42.70	45.70	29.583
		3			42.10	45.70	29.488
		4			44.80	46.80	29.214
		5			42.90	46.10	29.398
		6			43.20	47.10	29.495
		7			39.90	45.90	29.662
		8			40.10	43.30	29.541
		9			40.10	42.00	29.311
		10			42.20	42.60	29.665
		11			40.80	42.80	30.003
		12			43.10	44.40	30.025
		13			46.00	45.50	29.811
		14			46.80	48.10	29.895
		15			45.00	47.30	29.904
		16			48.80	48.50	29.578
		17			46.50	48.00	29.229
		18			45.60	47.90	29.294
		19			48.90	48.50	29.211
		20			51.00	48.80	29.467
		21			53.10	49.80	29.600
		22			51.50	50.30	29.782
		23			56.40	51.50	29.649
		24			51.30	50.90	29.622
		25			45.30	49.70	29.614
		26			47.20	50.20	29.388
		27			44.90	49.50	29.509
		28			49.40	50.30	29.263
		29			52.10	50.20	29.039
		31			44.10	49.10	29.114
		Mean			45.88	47.40	29.539
					45.88	47.40	29.539
							
							
1842	12	1	Port Louis		42.60	49.00	29.206
		2			44.10	49.30	29.013
		3			43.20	48.20	29.085
		4			40.90	48.40	29.212
		5			41.90	47.80	29.500
		6			45.80	48.80	29.396
		7			45.70	48.90	29.384
		8			47.90	48.90	29.390
		9			51.20	49.40	29.394
		10			45.50	49.00	29.550
		11			44.00	49.20	29.614
		12			44.70	48.90	29.285
		13			44.20	48.50	29.407
		14			45.50	48.80	29.627
		15			48.90	49.70	29.903
		16			50.50	50.30	29.838
		17	Off Cape	Pembroke	54.40	49.30	29.370
		18	52  54  	56  43   	52.00	47.40	29.334
