	"METEOROLOGICAL OBSERVATIONS, BY THE UNITED STATES EXPLORING EXPEDITION"														
	U.S. SHIP VINCENNES 														

Pg. 1															

															
YEAR	MONTH	DAY	HOUR	LAT	LONG	THERMOMETERS					WIND				
				North	West	Air	Water	Masthead	Barom	Hygrom	Direct	Force	 Clouds	Weather	Remarks
			1000			75.0	75.0								
			1100			76.0	75.0								
			1200	38  00	25  45	76.0	75.0							b. c.	
			1300			77.0	76.0					3			
			1400			76.0	76.0						Cumuli		Found the current
			1500			75.0	76.0	74.0	30.380	75° 65°			in hori-		setting W. by N. 3/4
			1600			75.0	75.0						zon		knot per hour.
			1700			74.0	75.0						clear		
			1800			74.0	75.0						over-		
			1900			73.0	74.0						head.		
			2000			73.0	74.0								
			2100			72.0	74.0	70.0	30.450	75° 60°					
			2200			72.0	74.0								
			2300			71.0	74.0						Cum. st		
			2400			71.0	74.0								
			Mean.			73.64	74.47	71.33	30.395						
						73.65	74.48	71.33	30.395						Steering to the north-ward and eastward.
		12	100			72.0	74.0				E. S. E.	3	Cum. st	 b. c.	Island of St. Michael
			200			72.0	74.0								in sight.
			300			71.0	74.0	70.0	30.400	74° 62°		4			Meteor seen bear-
			400			72.0	74.0								ing north.
			500			72.0	74.0				E by N				"Two meteors, bearing"
			600			72.0	74.0				E. 1/2 N.				south.
			700			73.0	75.0				East.				
			800			73.0	75.0					3		c.u.	Steering to the south-
			900			74.0	75.0	70.0	30.410	74° 60°					ward and westward
			1000			74.0	75.0						Cumuli.		
			1100			76.0	75.0					2			
			1200	38  16	25  10	76.0	75.0								
			1300			75.0	75.0				E. 1/2 N.				
			1400			75.0	75.0				E. by S.				
			1500			74.0	75.0	73.0	30.450	74° 69°					
			1600			74.0	75.0					3		c. u. p.	
			1700			73.0	74.0								
			1800			73.0	74.0								Steering to the north-
			1900			72.0	74.0					4	Cum. st.	 c.q.	"ward and eastward,"
			2000			72.0	74.0								
			2100			72.0	74.0	70.0	30.450	75° 64°					
			2200			72.0	74.0				East.				
			2300			71.0	74.0								
			2400			71.0	74.0								
			Mean.			72.95	74.41	70.75	30.427						
						72.96	74.42	70.75	30.428						
		13	100			71.0	74.0				East.	3	Cum. st.	o.	Steering to the south-
