	"VOYAGE AU POLE SUD ET DANS L'OCEANIE SUR LES CORVETTES L'ASTROLABE ET LA ZELEE, CAPT. M J DUMONT D'URVILLE"								

Pg. 2									

YEAR	MONTH	DAY	HOUR	LAT	LONG	BAR	SIMPIESOMETER	AIR	SEA
								TEMP	TEMP
1837	9	8	400						
			800	50 43	66 23	749.8		9.9	9.8
			1200			753.1		10.5	9.9
			1600			751.1		10.9	9.6
			2000	50 08	66 28	753.1		10.3	9.5
			2400			752.1		9.2	9.2
		10	400			751.4		9.0	9.1
			800	51 50	67 39	750.1		11.6	9.7
			1200			750.3		12.7	10.0
			1600			751.2		13.0	10.2
			2000	51 50	67 43	754.7		11.0	10.0
			2400			753.2		9.7	10.1
		11	400			753.2		9.0	10.0
			800	52 08	68 42	753.3		11.4	10.0
			1200			752.3		15.7	10.6
			1600			751.9		15.6	10.9
			2000	52 08	68 47	752.2		11.0	9.5
			2400			753.2		10.0	8.6
		12	400			749.2		9.7	7.7
			800	52 22	71 07	741.3		9.9	8.8
			1200			739.2		14.2	9.8
			1600			738.1		10.1	9.6
			2000			740.3		10.0	9.8
			2400			741.2		8.9	9.5
		13	400			741.3		8.1	9.2
			800	52 42	72 13	742.6		10.0	9.7
			1200			741.3		15.0	10.3
			1600			741.3		18.3	9.0
			2000			739.2		12.2	8.9
			2400			738.0		9.7	8.2
		14	400			738.9		8.1	8.0
			800			737.2		8.3	8.4
			1200			737.3		8.4	8.6
			1600			737.2		8.1	8.0
			2000			736.4		8.6	8.0
			2400			738.4		8.6	8.0
		15	400			737.3		8.8	8.0
			800	53 38	73 16	739.4		9.7	8.4
			1200			740.4		10.9	8.4
			1600			740.7		11.6	9.1
			2000	53 38	73 16	739.4		10.3	9.7
			2400			739.5		7.6	8.2
		16	400			739.7		6.4	7.7
			800			740.5		10.3	9.4
			1200			740.5		11.0	9.6
			1600			742.3		12.4	9.1
			2000			742.3		10.6	8.3
			2400			743.5		7.0	8.0
		17	400			742.7		7.2	7.6
			800			743.5		9.4	8.5
			1200			742.5		14.0	8.8
			1600			743.3		12.4	11.3
			2000			740.8		11.8	9.7
			2400			740.5		7.9	8.3
		18	400			739.3		8.0	8.2
			800			741.3		9.4	8.5
			1200			741.4		13.6	8.4
			1600			739.4		11.8	8.1
			2000			744.8		9.3	8.9
			2400			745.2		7.1	7.0
		19	400			748.4		7.5	7.7
			800			748.0		10.6	9.0
			1200			749.4		13.9	9.1
			1600			751.2		12.0	9.2
			2000			751.2		9.1	9.0
			2400						
		20	400			750.7		6.0	6.9
			800			749.8		9.8	8.8
			1200			747.7		11.2	9.0
			1600			745.7		9.9	8.7
			2000			745.3		9.2	8.9
			2400						
		21	400						
			800			739.4		9.9	8.6
			1200			739.8		12.4	9.0
			1600			739.2		10.7	9.4
			2000			743.2		9.2	7.8
			2400			741.4		9.7	9.9
		22	400			748.7		8.2	7.5
			800			750.7		9.9	9.6
			1200			751.2		13.0	9.4
			1600			752.9		12.2	9.3
			2000			754.7		10.1	9.1
			2400						
		23	400			751.2		7.2	8.5
			800			750.4		7.6	8.6
			1200			750.4		9.8	8.8
			1600			747.8		12.6	9.0
			2000			748.2		11.7	9.0
			2400			748.9		9.8	9.8
		24	400			749.8		10.0	8.6
			800			749.5		10.7	10.3
			1200			749.8		14.0	9.5
			1600			750.2		15.2	10.5
			2000			751.2		12.0	9.0
			2400			752.4		9.8	8.2
		25	400			748.3		8.8	9.1
			800			747.3		9.9	9.0
			1200			744.3		12.0	9.2
			1600			742.3		14.7	10.0
			2000			742.7		11.6	9.2
			2400			745.1		9.8	8.5
		26	400			747.0		8.0	8.4
