"METEOROLOGICAL OBSERVATIONS MADE ON BOARD THE  ""AURORA"", BETWEEN CAPE TOWN AND HOBART 1911 TO 1914"																							
Month/Year	Day	Hour	Lat	Long	Air pressure in inches corrected and reduced	Air temperature in deg. F.																	
			S	E																			
			°    '	°    '																			
				FIRST	SUBANTARCTIC	VOYAGE																	
		24			30.30	60.0
	21	4			30.27	58.0
		8			30.30	56.2
		12	38 1	149 18	30.30	57.5
		16			30.50	59.0
		20			30.29	59.0
		24			30.29	59.0
	22	4			30.24	57.0
		8			30.30	54.0
		12	38 58.50	146.56	30.31	54.0
		16			30.38	55.0
		20			30.45	56.0
		24			30.48	56.0
	23	4			30.47	55.0
		8			30.50	56.0
		12	39 32	143 56.50	30.48	53.5
		16	(by bearings)		30.38	57.0
		20			30.39	56.7
		24			30.33	56.0
	24	4			30.21	56.5
		8			30.18	56.5
		12	40 32	141 25	30.12	57.2
		16			30.02	55.0
		20			30.02	54.0
		24			29.97	54.0
	25	4			29.02	53.5
		8			29.95	53.0
		12	42 27.50	141 1	29.99	54.2
		16			30.01	53.0
		20			30.08	52.0
		24			30.11	51.0
	26	4			30.11	50.0
		8			30.14	52.0
		12	43 57	140 26	30.10	53.0
		16			30.06	52.0
		20			30.01	52.0
		24			29.90	52.0
	27	4			29.79	52.0
		8			29.80	50.5
		12	45 29	140 6	29.80	46.2
		16			29.84	45.0
		20			29.91	44.0
		24			29.96	43.0
	28	4			30.01	44.5
		8			30.08	44.0
		12	47 32	139 28	30.00	45.0
		16			30.10	43.0
		20			30.09	43.0
		24			29.98	45.0
	29	4			29.90	44.2
		8			29.78	45.0
		12	49 17	139 37	29.69	45.2
		16			29.65	39.3
		20			29.59	42.0
		24			29.50	41.0
	30	4			29.39	40.2
		8			29.16	41.5
		12	51 41	140 13	28.97	40.0
		16			28.93	39.0
		20			28.95	36.6
		24			29.00	38.5
	31	4			29.05	38.0
		8			29.15	38.7
		12	52 32	143 33	29.23	39.0
		16			29.31	37.2
		20			29.35	38.5
		24			29.20	41.0
